STABBR,YEAR,dispensary,marij_related_words
AK,2004,0.25,17.083333333333336
AK,2005,0,15.5
AK,2006,0,13.38888888888889
AK,2007,0.08333333333333333,13.833333333333334
AK,2008,0,15.166666666666668
AK,2009,0.16666666666666666,17.63888888888889
AK,2010,0.25,19.97222222222222
AK,2011,0.25,19.63888888888889
AK,2012,0,20.805555555555557
AK,2013,0.4166666666666667,21.805555555555557
AK,2014,0.5,27.805555555555554
AK,2015,1,28.75
AK,2016,2.8333333333333335,32.55555555555556
AK,2017,6.416666666666667,39.66666666666667
AK,2018,7.333333333333333,44.22222222222222
AK,2019,8.166666666666666,43.25
AK,2020,7.583333333333333,40.44444444444444
AK,2021,9.25,37.388888888888886
AL,2004,0.16666666666666666,18.555555555555557
AL,2005,0.16666666666666666,17.72222222222222
AL,2006,0.16666666666666666,17.25
AL,2007,0,18.083333333333332
AL,2008,0,21.27777777777778
AL,2009,0.16666666666666666,26.416666666666668
AL,2010,0.16666666666666666,26.11111111111111
AL,2011,0,28.166666666666668
AL,2012,0.08333333333333333,29.944444444444443
AL,2013,0.16666666666666666,32.333333333333336
AL,2014,0.3333333333333333,35.27777777777778
AL,2015,0.5833333333333334,33.916666666666664
AL,2016,0.8333333333333334,34.333333333333336
AL,2017,1,37.22222222222222
AL,2018,1.25,41.30555555555556
AL,2019,2,43.72222222222222
AL,2020,2.5833333333333335,45.11111111111111
AL,2021,4.166666666666667,41.111111111111114
AR,2004,0,21.88888888888889
AR,2005,0,20.5
AR,2006,0,18.166666666666668
AR,2007,0.08333333333333333,20.5
AR,2008,0.08333333333333333,22.88888888888889
AR,2009,0.08333333333333333,28.555555555555557
AR,2010,0.5,28.13888888888889
AR,2011,0.25,29.222222222222225
AR,2012,0.16666666666666666,32.83333333333333
AR,2013,0.08333333333333333,33.05555555555556
AR,2014,0.5,37.30555555555556
AR,2015,0.9166666666666666,35.138888888888886
AR,2016,1.5833333333333333,38.72222222222222
AR,2017,2.1666666666666665,41.19444444444444
AR,2018,2.8333333333333335,44.75
AR,2019,13.083333333333334,50.27777777777778
AR,2020,28.833333333333332,52.36111111111111
AR,2021,36.25,48.05555555555556
AZ,2004,0,15.833333333333332
AZ,2005,0,16.27777777777778
AZ,2006,0,15.555555555555555
AZ,2007,0,16.77777777777778
AZ,2008,0,18.916666666666668
AZ,2009,0.3333333333333333,21.22222222222222
AZ,2010,0.5833333333333334,25.11111111111111
AZ,2011,1.3333333333333333,26.86111111111111
AZ,2012,1.4166666666666667,27.72222222222222
AZ,2013,3.25,29
AZ,2014,4.916666666666667,31.833333333333332
AZ,2015,7.416666666666667,31.916666666666668
AZ,2016,12.166666666666666,34.25
AZ,2017,21.25,36.083333333333336
AZ,2018,28.083333333333332,39.666666666666664
AZ,2019,33.083333333333336,40.27777777777778
AZ,2020,41.916666666666664,40.166666666666664
AZ,2021,81.41666666666667,40.22222222222222
CA,2004,0,18.86111111111111
CA,2005,0,20.02777777777778
CA,2006,0.08333333333333333,19.61111111111111
CA,2007,0.25,19.694444444444443
CA,2008,0.3333333333333333,19.916666666666668
CA,2009,1,22.25
CA,2010,1.1666666666666667,20.86111111111111
CA,2011,3.3333333333333335,32.833333333333336
CA,2012,3.0833333333333335,34.361111111111114
CA,2013,3.3333333333333335,35.02777777777778
CA,2014,3.9166666666666665,35.611111111111114
CA,2015,4.5,35.69444444444444
CA,2016,6.25,42.80555555555556
CA,2017,9.5,47.638888888888886
CA,2018,19.083333333333332,54.5
CA,2019,19.833333333333332,50.5
CA,2020,19.916666666666668,50.25
CA,2021,26.166666666666668,45.86111111111111
CO,2004,0,17.416666666666668
CO,2005,0,18.694444444444443
CO,2006,0,18.416666666666664
CO,2007,0,19.055555555555557
CO,2008,0,21.416666666666668
CO,2009,1.75,29.13888888888889
CO,2010,4.5,32.611111111111114
CO,2011,4.166666666666667,29.416666666666668
CO,2012,4.833333333333333,31.333333333333336
CO,2013,5.833333333333333,35.47222222222222
CO,2014,14.666666666666666,46.361111111111114
CO,2015,15.416666666666666,40.80555555555556
CO,2016,31.833333333333332,45.94444444444444
CO,2017,42.083333333333336,47.94444444444444
CO,2018,48.083333333333336,50.55555555555556
CO,2019,55.416666666666664,49.416666666666664
CO,2020,57.333333333333336,47.388888888888886
CO,2021,60.416666666666664,44.80555555555556
CT,2004,0.08333333333333333,23.22222222222222
CT,2005,0.25,23.13888888888889
CT,2006,0.08333333333333333,22.97222222222222
CT,2007,0.08333333333333333,23.916666666666668
CT,2008,0.16666666666666666,26.52777777777778
CT,2009,0.08333333333333333,32
CT,2010,0.3333333333333333,32.611111111111114
CT,2011,0.5833333333333334,33.55555555555556
CT,2012,0.9166666666666666,34.388888888888886
CT,2013,1.0833333333333333,35.5
CT,2014,1.25,36.47222222222222
CT,2015,1.75,35.77777777777778
CT,2016,3,39.44444444444444
CT,2017,4.083333333333333,41.97222222222222
CT,2018,8.5,48.47222222222222
CT,2019,14.416666666666666,48.916666666666664
CT,2020,15.916666666666666,47.77777777777778
CT,2021,24.25,48.55555555555556
DE,2004,0,20.25
DE,2005,0.3333333333333333,20.555555555555557
DE,2006,0,19.63888888888889
DE,2007,0.16666666666666666,21.083333333333332
DE,2008,0.3333333333333333,21.61111111111111
DE,2009,0.08333333333333333,24.944444444444443
DE,2010,0.4166666666666667,25.916666666666668
DE,2011,0.3333333333333333,29.666666666666664
DE,2012,0,30.166666666666668
DE,2013,0.16666666666666666,31.13888888888889
DE,2014,0.6666666666666666,34.33333333333333
DE,2015,1.0833333333333333,33.02777777777778
DE,2016,1.3333333333333333,35.22222222222222
DE,2017,1.75,38.5
DE,2018,2.6666666666666665,43.80555555555556
DE,2019,5.666666666666667,44.94444444444444
DE,2020,9.75,45.55555555555556
DE,2021,11.5,42.333333333333336
FL,2004,0,20.52777777777778
FL,2005,0,22.13888888888889
FL,2006,0,22.166666666666668
FL,2007,0,23.27777777777778
FL,2008,0,25.055555555555557
FL,2009,0,28.583333333333332
FL,2010,0.08333333333333333,29.805555555555557
FL,2011,0,32.30555555555556
FL,2012,0.08333333333333333,33.27777777777778
FL,2013,0.5833333333333334,33.333333333333336
FL,2014,1,38.41666666666667
FL,2015,1,34.44444444444444
FL,2016,1.5,36.166666666666664
FL,2017,2.5,39.02777777777778
FL,2018,4,46.416666666666664
FL,2019,7.583333333333333,47.638888888888886
FL,2020,10.833333333333334,50.5
FL,2021,16.5,44.88888888888889
GA,2004,0,17.833333333333332
GA,2005,0,18.02777777777778
GA,2006,0,17.416666666666668
GA,2007,0,18.416666666666668
GA,2008,0,20.694444444444443
GA,2009,0,23.805555555555557
GA,2010,0,24.61111111111111
GA,2011,0,29.194444444444443
GA,2012,0,30.88888888888889
GA,2013,0.08333333333333333,32.36111111111111
GA,2014,0.9166666666666666,36.611111111111114
GA,2015,1.1666666666666667,36.05555555555556
GA,2016,1,34.611111111111114
GA,2017,1.25,36.30555555555556
GA,2018,1.9166666666666667,41.30555555555556
GA,2019,2.5,41.72222222222222
GA,2020,3.25,44.638888888888886
GA,2021,4.666666666666667,38.55555555555556
HI,2004,0.25,18.97222222222222
HI,2005,0.25,18.27777777777778
HI,2006,0.16666666666666666,17.583333333333332
HI,2007,0,18.833333333333336
HI,2008,0.3333333333333333,22.194444444444443
HI,2009,0.3333333333333333,26.583333333333332
HI,2010,0,27.11111111111111
HI,2011,0.5,26.444444444444446
HI,2012,0.5,26.88888888888889
HI,2013,0.3333333333333333,27.88888888888889
HI,2014,1.8333333333333333,30.27777777777778
HI,2015,2.5,29.97222222222222
HI,2016,1.9166666666666667,31.36111111111111
HI,2017,3.6666666666666665,35.66666666666667
HI,2018,5.166666666666667,41.22222222222222
HI,2019,6.25,41.916666666666664
HI,2020,4.75,45.27777777777778
HI,2021,7.5,39.77777777777778
IA,2004,0,14.38888888888889
IA,2005,0.08333333333333333,15.666666666666666
IA,2006,0,15.11111111111111
IA,2007,0,15
IA,2008,0,15.5
IA,2009,0,18.77777777777778
IA,2010,0.08333333333333333,20.583333333333332
IA,2011,0,23.63888888888889
IA,2012,0.08333333333333333,24.47222222222222
IA,2013,0.08333333333333333,26.22222222222222
IA,2014,0.4166666666666667,28.805555555555554
IA,2015,0.75,28.944444444444443
IA,2016,0.9166666666666666,27.638888888888886
IA,2017,1.4166666666666667,30.555555555555557
IA,2018,2,36.02777777777778
IA,2019,3.3333333333333335,36.77777777777778
IA,2020,9.75,37.72222222222222
IA,2021,13.75,34.63888888888889
ID,2004,0.25,13.88888888888889
ID,2005,0.16666666666666666,14.472222222222221
ID,2006,0.25,12.805555555555555
ID,2007,0.75,13.666666666666666
ID,2008,0.6666666666666666,15.694444444444445
ID,2009,0.3333333333333333,18.666666666666668
ID,2010,0.08333333333333333,18.22222222222222
ID,2011,0.4166666666666667,20.47222222222222
ID,2012,0.16666666666666666,21.583333333333332
ID,2013,0.3333333333333333,22.555555555555557
ID,2014,0.9166666666666666,25.25
ID,2015,1.5833333333333333,25.833333333333336
ID,2016,2.25,25.555555555555557
ID,2017,3,28.555555555555557
ID,2018,3.9166666666666665,34.138888888888886
ID,2019,5.833333333333333,36.77777777777778
ID,2020,5.916666666666667,35.05555555555556
ID,2021,7.666666666666667,31.36111111111111
IL,2004,0,15.055555555555557
IL,2005,0,15.805555555555555
IL,2006,0,15.472222222222221
IL,2007,0,15.166666666666668
IL,2008,0,17
IL,2009,0,19.833333333333332
IL,2010,0,20.055555555555557
IL,2011,0,23.333333333333332
IL,2012,0,24.833333333333332
IL,2013,0.5,25.77777777777778
IL,2014,1,27.416666666666668
IL,2015,1.3333333333333333,26.916666666666668
IL,2016,1.75,27.055555555555557
IL,2017,2.25,29.555555555555557
IL,2018,3.3333333333333335,34.63888888888889
IL,2019,7,37.80555555555556
IL,2020,36.75,43.5
IL,2021,35,33.88888888888889
IN,2004,0,18.944444444444443
IN,2005,0,19.25
IN,2006,0,18.77777777777778
IN,2007,0,19.25
IN,2008,0,21.02777777777778
IN,2009,0,25.083333333333332
IN,2010,0,25.805555555555554
IN,2011,0.08333333333333333,28.47222222222222
IN,2012,0.25,29.63888888888889
IN,2013,0.16666666666666666,31.555555555555554
IN,2014,0.5,33.16666666666667
IN,2015,0.5833333333333334,31.583333333333332
IN,2016,1,33.611111111111114
IN,2017,1.1666666666666667,36.72222222222222
IN,2018,2.25,42.19444444444444
IN,2019,3.8333333333333335,44.47222222222222
IN,2020,12.75,44.638888888888886
IN,2021,19.25,42
KS,2004,0.08333333333333333,16.055555555555557
KS,2005,0,16.86111111111111
KS,2006,0,18.02777777777778
KS,2007,0,16.583333333333332
KS,2008,0,18.916666666666668
KS,2009,0.16666666666666666,23.333333333333332
KS,2010,0.16666666666666666,24.916666666666668
KS,2011,0.25,25.11111111111111
KS,2012,0.3333333333333333,26.583333333333336
KS,2013,0.6666666666666666,27.916666666666664
KS,2014,1.1666666666666667,29.916666666666664
KS,2015,1,25.333333333333336
KS,2016,1.8333333333333333,28.5
KS,2017,2.9166666666666665,33.361111111111114
KS,2018,3.0833333333333335,39.11111111111111
KS,2019,4.416666666666667,39.11111111111111
KS,2020,6.166666666666667,39.583333333333336
KS,2021,7.083333333333333,36.19444444444444
KY,2004,0.16666666666666666,17.22222222222222
KY,2005,0.08333333333333333,16.5
KY,2006,0,17.055555555555554
KY,2007,0,18.916666666666664
KY,2008,0,20.75
KY,2009,0,23.555555555555557
KY,2010,0,25.333333333333332
KY,2011,0,27.25
KY,2012,0,28.833333333333336
KY,2013,0.08333333333333333,30.02777777777778
KY,2014,0.4166666666666667,32.55555555555556
KY,2015,0.6666666666666666,31.777777777777775
KY,2016,0.75,32.138888888888886
KY,2017,1,34.75
KY,2018,1.5,39.69444444444444
KY,2019,2.25,40.88888888888889
KY,2020,4.833333333333333,41.55555555555556
KY,2021,7,37.833333333333336
LA,2004,0.16666666666666666,22.166666666666668
LA,2005,0.16666666666666666,19.52777777777778
LA,2006,0,22.11111111111111
LA,2007,0,22.97222222222222
LA,2008,0,24.416666666666668
LA,2009,0,29.61111111111111
LA,2010,0.16666666666666666,30
LA,2011,0.3333333333333333,33.27777777777778
LA,2012,0.16666666666666666,34.80555555555556
LA,2013,0.08333333333333333,37.166666666666664
LA,2014,1,39.97222222222222
LA,2015,0.8333333333333334,37.94444444444444
LA,2016,1.25,39.083333333333336
LA,2017,1.3333333333333333,41.25
LA,2018,2.3333333333333335,46.77777777777778
LA,2019,3,47.5
LA,2020,3.6666666666666665,49.361111111111114
LA,2021,6.25,46.27777777777778
MA,2004,0,16.805555555555557
MA,2005,0.08333333333333333,17.166666666666664
MA,2006,0,17.88888888888889
MA,2007,0,18.833333333333336
MA,2008,0,22
MA,2009,0,25.416666666666668
MA,2010,0,26.11111111111111
MA,2011,0,27.666666666666668
MA,2012,0.16666666666666666,30.22222222222222
MA,2013,0.9166666666666666,31.583333333333332
MA,2014,1.0833333333333333,32.05555555555556
MA,2015,1.5833333333333333,30.97222222222222
MA,2016,3.5833333333333335,35.583333333333336
MA,2017,4.583333333333333,39.69444444444444
MA,2018,10.5,44.888888888888886
MA,2019,23.416666666666668,45.388888888888886
MA,2020,26.916666666666668,44.02777777777777
MA,2021,43.5,40.333333333333336
MD,2004,0.08333333333333333,20.333333333333336
MD,2005,0,22.416666666666668
MD,2006,0,20.77777777777778
MD,2007,0,22.194444444444443
MD,2008,0,24.166666666666664
MD,2009,0,26.72222222222222
MD,2010,0.08333333333333333,28.88888888888889
MD,2011,0.3333333333333333,31.5
MD,2012,0.16666666666666666,31.805555555555554
MD,2013,0.08333333333333333,33.86111111111111
MD,2014,0.9166666666666666,36.75
MD,2015,1,34.69444444444444
MD,2016,1.3333333333333333,37.44444444444444
MD,2017,3.25,41.583333333333336
MD,2018,8.25,49.916666666666664
MD,2019,10.916666666666666,49.138888888888886
MD,2020,15.5,49.44444444444444
MD,2021,22.166666666666668,45.80555555555556
ME,2004,0,17.52777777777778
ME,2005,0,17.13888888888889
ME,2006,0,17.47222222222222
ME,2007,0,17.38888888888889
ME,2008,0.08333333333333333,19.666666666666668
ME,2009,0.16666666666666666,24.555555555555557
ME,2010,0.08333333333333333,25.47222222222222
ME,2011,0.3333333333333333,27.38888888888889
ME,2012,0.75,28.694444444444446
ME,2013,0.75,30.944444444444443
ME,2014,0.75,32.166666666666664
ME,2015,1.25,31.38888888888889
ME,2016,2,36.19444444444444
ME,2017,2.5,40.55555555555556
ME,2018,4.083333333333333,43.80555555555556
ME,2019,8.666666666666666,45.55555555555556
ME,2020,15,46.97222222222222
ME,2021,25.333333333333332,42.83333333333333
MI,2004,0,17.333333333333336
MI,2005,0,17.02777777777778
MI,2006,0,16.77777777777778
MI,2007,0,17.555555555555557
MI,2008,0,20.083333333333336
MI,2009,0,23.86111111111111
MI,2010,0.8333333333333334,27.36111111111111
MI,2011,1.5833333333333333,29.27777777777778
MI,2012,1,28.52777777777778
MI,2013,1.1666666666666667,29.75
MI,2014,1.4166666666666667,31.166666666666668
MI,2015,2.5833333333333335,31.805555555555557
MI,2016,4.416666666666667,32.16666666666667
MI,2017,5.75,34.361111111111114
MI,2018,7.25,42.77777777777778
MI,2019,8.5,45.27777777777778
MI,2020,18.333333333333332,47.72222222222222
MI,2021,25.666666666666668,41.611111111111114
MN,2004,0,15.805555555555555
MN,2005,0,16.47222222222222
MN,2006,0,16.333333333333336
MN,2007,0,16.11111111111111
MN,2008,0,17.63888888888889
MN,2009,0,21.22222222222222
MN,2010,0,21.72222222222222
MN,2011,0,23.38888888888889
MN,2012,0.08333333333333333,24.555555555555557
MN,2013,0,26.555555555555557
MN,2014,0.6666666666666666,29.055555555555557
MN,2015,1,27.166666666666668
MN,2016,0.75,28.52777777777778
MN,2017,1.0833333333333333,31.805555555555557
MN,2018,2,38.05555555555556
MN,2019,2.5,38.25
MN,2020,3.5833333333333335,38.333333333333336
MN,2021,5.166666666666667,35.666666666666664
MO,2004,0,20.22222222222222
MO,2005,0,19.194444444444443
MO,2006,0,17.916666666666668
MO,2007,0,19.416666666666668
MO,2008,0.08333333333333333,21.77777777777778
MO,2009,0,25.833333333333332
MO,2010,0.4166666666666667,28.27777777777778
MO,2011,0.08333333333333333,27.11111111111111
MO,2012,0.16666666666666666,30.666666666666664
MO,2013,0.25,32.69444444444444
MO,2014,1,35.69444444444444
MO,2015,1.0833333333333333,33.27777777777778
MO,2016,1.0833333333333333,34.666666666666664
MO,2017,1.75,37.52777777777778
MO,2018,2.75,44.833333333333336
MO,2019,5.083333333333333,46.19444444444444
MO,2020,17.083333333333332,49.44444444444444
MO,2021,37.5,46.02777777777778
MS,2004,0,21.194444444444443
MS,2005,0,22.916666666666668
MS,2006,0.16666666666666666,22.416666666666668
MS,2007,0,21.52777777777778
MS,2008,0.16666666666666666,24.416666666666668
MS,2009,0.3333333333333333,29.11111111111111
MS,2010,0.3333333333333333,29.944444444444443
MS,2011,0.3333333333333333,29.833333333333336
MS,2012,0.08333333333333333,33.138888888888886
MS,2013,0.4166666666666667,35.888888888888886
MS,2014,0.6666666666666666,38.72222222222222
MS,2015,0.6666666666666666,37.638888888888886
MS,2016,0.9166666666666666,38.638888888888886
MS,2017,1,40.083333333333336
MS,2018,1.75,45
MS,2019,2.4166666666666665,46.111111111111114
MS,2020,4,48.47222222222222
