Jurisdictions,Year,url
North Dakota,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/North-Dakota.html
Ohio,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Ohio.html
Oklahoma,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Oklahoma.html
Oregon,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Oregon.html
Pennsylvania,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Pennsylvania.html
Puerto Rico,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Puerto-Rico.html
Rhode Island,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Rhode-Island.html
South Carolina,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/South-Carolina.html
South Dakota,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/South-Dakota.html
Tennessee,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Tennessee.html
Texas,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Texas.html
Utah,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Utah.html
Vermont,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Vermont.html
Virginia,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Virginia.html
Washington,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Washington.html
West Virginia,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/West-Virginia.html
Wisconsin,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Wisconsin.html
Wyoming,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Wyoming.html
Alabama,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Alabama.html
Alaska,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Alaska.html
Arizona,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Arizona.html
Arkansas,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Arkansas.html
California,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/California.html
Colorado,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Colorado.html
Connecticut,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Connecticut.html
Delaware,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Delaware.html
District of Columbia,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/District-of-Columbia.html
Florida,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Florida.html
Georgia,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Georgia.html
Hawaii,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Hawaii.html
Idaho,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Idaho.html
Illinois,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Illinois.html
Indiana,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Indiana.html
Iowa,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Iowa.html
Kansas,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Kansas.html
Kentucky,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Kentucky.html
Louisiana,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Louisiana.html
Maine,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Maine.html
Maryland,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Maryland.html
Massachusetts,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Massachusetts.html
Michigan,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Michigan.html
Minnesota,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Minnesota.html
Mississippi,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Mississippi.html
Missouri,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Missouri.html
Montana,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Montana.html
Nebraska,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Nebraska.html
Nevada,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Nevada.html
New Hampshire,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/New-Hampshire.html
New Jersey,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/New-Jersey.html
New Mexico,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/New-Mexico.html
New York,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/New-York.html
North Carolina,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/North-Carolina.html
North Dakota,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/North-Dakota.html
Ohio,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Ohio.html
Oklahoma,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Oklahoma.html
Oregon,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Oregon.html
Pennsylvania,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Pennsylvania.html
Puerto Rico,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Puerto-Rico.html
Rhode Island,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Rhode-Island.html
South Carolina,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/South-Carolina.html
South Dakota,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/South-Dakota.html
Tennessee,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Tennessee.html
Texas,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Texas.html
Utah,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Utah.html
Vermont,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Vermont.html
Virginia,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Virginia.html
Washington,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Washington.html
West Virginia,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/West-Virginia.html
Wisconsin,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Wisconsin.html
Wyoming,2014,https://web.archive.org/web/20141227232308/http:/www.priceofweed.com/prices/United-States/Wyoming.html
Alabama,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Alabama.html
Alaska,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Alaska.html
Arizona,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Arizona.html
Arkansas,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Arkansas.html
California,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/California.html
Colorado,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Colorado.html
Connecticut,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Connecticut.html
Delaware,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Delaware.html
District of Columbia,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/District-of-Columbia.html
Florida,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Florida.html
Georgia,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Georgia.html
Hawaii,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Hawaii.html
Idaho,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Idaho.html
Illinois,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Illinois.html
Indiana,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Indiana.html
Iowa,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Iowa.html
Kansas,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Kansas.html
Kentucky,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Kentucky.html
Louisiana,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Louisiana.html
Maine,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Maine.html
Maryland,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Maryland.html
Massachusetts,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Massachusetts.html
Michigan,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Michigan.html
Minnesota,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Minnesota.html
Mississippi,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Mississippi.html
Missouri,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Missouri.html
Montana,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Montana.html
Nebraska,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Nebraska.html
Nevada,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Nevada.html
New Hampshire,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/New-Hampshire.html
New Jersey,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/New-Jersey.html
New Mexico,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/New-Mexico.html
New York,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/New-York.html
North Carolina,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/North-Carolina.html
North Dakota,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/North-Dakota.html
Ohio,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Ohio.html
Oklahoma,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Oklahoma.html
Oregon,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Oregon.html
Pennsylvania,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Pennsylvania.html
Puerto Rico,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Puerto-Rico.html
Rhode Island,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Rhode-Island.html
South Carolina,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/South-Carolina.html
South Dakota,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/South-Dakota.html
Tennessee,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Tennessee.html
Texas,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Texas.html
Utah,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Utah.html
Vermont,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Vermont.html
Virginia,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Virginia.html
Washington,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Washington.html
West Virginia,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/West-Virginia.html
Wisconsin,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Wisconsin.html
Wyoming,2015,https://web.archive.org/web/20151212095829/http:/www.priceofweed.com/prices/United-States/Wyoming.html
Alabama,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Alabama.html
Alaska,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Alaska.html
Arizona,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Arizona.html
Arkansas,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Arkansas.html
California,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/California.html
Colorado,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Colorado.html
Connecticut,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Connecticut.html
Delaware,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Delaware.html
District of Columbia,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/District-of-Columbia.html
Florida,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Florida.html
Georgia,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Georgia.html
Hawaii,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Hawaii.html
Idaho,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Idaho.html
Illinois,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Illinois.html
Indiana,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Indiana.html
Iowa,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Iowa.html
Kansas,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Kansas.html
Kentucky,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Kentucky.html
Louisiana,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Louisiana.html
Maine,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Maine.html
Maryland,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Maryland.html
Massachusetts,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Massachusetts.html
Michigan,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Michigan.html
Minnesota,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Minnesota.html
Mississippi,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Mississippi.html
Missouri,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Missouri.html
Montana,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Montana.html
Nebraska,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Nebraska.html
Nevada,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Nevada.html
New Hampshire,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/New-Hampshire.html
New Jersey,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/New-Jersey.html
New Mexico,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/New-Mexico.html
New York,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/New-York.html
North Carolina,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/North-Carolina.html
North Dakota,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/North-Dakota.html
Ohio,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Ohio.html
Oklahoma,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Oklahoma.html
Oregon,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Oregon.html
Pennsylvania,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Pennsylvania.html
Puerto Rico,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Puerto-Rico.html
Rhode Island,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Rhode-Island.html
South Carolina,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/South-Carolina.html
South Dakota,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/South-Dakota.html
Tennessee,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Tennessee.html
Texas,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Texas.html
Utah,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Utah.html
Vermont,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Vermont.html
Virginia,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Virginia.html
Washington,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Washington.html
West Virginia,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/West-Virginia.html
Wisconsin,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Wisconsin.html
Wyoming,2016,https://web.archive.org/web/20161119091842/http:/www.priceofweed.com/prices/United-States/Wyoming.html
Alabama,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Alabama.html
Alaska,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Alaska.html
Arizona,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Arizona.html
Arkansas,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Arkansas.html
California,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/California.html
Colorado,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Colorado.html
Connecticut,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Connecticut.html
Delaware,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Delaware.html
District of Columbia,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/District-of-Columbia.html
Florida,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Florida.html
Georgia,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Georgia.html
Hawaii,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Hawaii.html
Idaho,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Idaho.html
Illinois,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Illinois.html
Indiana,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Indiana.html
Iowa,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Iowa.html
Kansas,2017,https://web.archive.org/web/20171204215454/http:/www.priceofweed.com/prices/United-States/Kansas.html
