unitid,instnm,stabbr,st_fips,zip,latitude,longitude,ugds,adm_rate,year
206817,Bacone College,OK,40,74403-1597,35.777082,-95.334046,271,0.1524,2018
206835,Oklahoma Wesleyan University,OK,40,74006-6299,36.717453,-95.95671,905,0.6773,2018
206862,Southern Nazarene University,OK,40,73008,35.513295,-97.629504,1563,NA,2018
206905,Pontotoc Technology Center,OK,40,74820,34.7484,-96.683815,98,NA,2018
206914,Cameron University,OK,40,73505-6377,34.606487,-98.434163,3623,NA,2018
206923,Carl Albert State College,OK,40,74953-5208,35.039173,-94.633986,1547,NA,2018
206932,Central Oklahoma College,OK,40,73134,35.621488,-97.560235,247,NA,2018
206941,University of Central Oklahoma,OK,40,73034,35.6552,-97.471508,13118,0.7822,2018
206996,Connors State College,OK,40,74469,35.492873,-95.319541,1827,NA,2018
207041,East Central University,OK,40,74820-6999,34.771934,-96.663849,2725,0.8264,2018
207050,Eastern Oklahoma State College,OK,40,74578-4999,34.914079,-95.328995,1160,NA,2018
207069,Redlands Community College,OK,40,73036-5304,35.518475,-97.974592,1103,NA,2018
207087,Enid Beauty College,OK,40,73703-4538,36.393267,-97.927122,33,NA,2018
207102,Eves College of Hairstyling,OK,40,73501,34.604991,-98.402794,88,NA,2018
207157,Randall University,OK,40,73160,35.300757,-97.491107,290,0.505,2018
207209,Langston University,OK,40,73050,35.943982,-97.260317,1922,NA,2018
207236,Murray State College,OK,40,73460,34.222949,-96.677906,1617,NA,2018
207254,Spartan College of Aeronautics and Technology,OK,40,74115,36.176642,-95.878902,979,NA,2018
207263,Northeastern State University,OK,40,74464-2399,35.919939,-94.967229,6332,0.9754,2018
207272,Beauty Technical College Inc,OK,40,74465,35.915551,-94.962015,24,NA,2018
207281,Northern Oklahoma College,OK,40,74653,36.678649,-97.295887,2546,NA,2018
207290,Northeastern Oklahoma A&M College,OK,40,74354,36.877255,-94.867248,1627,NA,2018
207306,Northwestern Oklahoma State University,OK,40,73717-2799,36.796658,-98.667673,1681,0.6239,2018
207315,Oklahoma State University Center for Health Sciences,OK,40,74107-1898,36.137977,-96.005702,NA,NA,2018
207324,Oklahoma Christian University,OK,40,73013,35.611412,-97.469526,1813,0.6476,2018
207342,University of Oklahoma-Health Sciences Center,OK,40,73117-1221,35.47928,-97.496289,759,NA,2018
207351,Oklahoma Panhandle State University,OK,40,73939-0430,36.594518,-101.638488,1106,NA,2018
207388,Oklahoma State University-Main Campus,OK,40,74078-1015,36.123085,-97.069743,20323,0.7379,2018
207397,Oklahoma State University-Oklahoma City,OK,40,73107-6195,35.474969,-97.581959,5058,NA,2018
207403,Oklahoma Baptist University,OK,40,74804,35.360492,-96.932459,1808,0.6431,2018
207449,Oklahoma City Community College,OK,40,73159-9987,35.387699,-97.570109,10737,NA,2018
207458,Oklahoma City University,OK,40,73106-1402,35.495271,-97.541242,1691,0.7618,2018
207500,University of Oklahoma-Norman Campus,OK,40,73019-3072,35.209407,-97.444211,21675,0.7769,2018
207564,Oklahoma State University Institute of Technology,OK,40,74447-3901,35.626934,-95.940373,2195,NA,2018
207582,Oral Roberts University,OK,40,74171,36.049129,-95.952547,3159,0.805,2018
207661,Rogers State University,OK,40,74017-3252,36.321437,-95.635718,3162,NA,2018
207670,Rose State College,OK,40,73110-2799,35.44372,-97.414113,5587,NA,2018
207704,Jenks Beauty College,OK,40,74037,36.023435,-95.975154,73,NA,2018
207722,University of Science and Arts of Oklahoma,OK,40,73018-5322,35.031392,-97.95641,817,0.5304,2018
207740,Seminole State College,OK,40,74868-1901,35.249515,-96.704908,1228,NA,2018
207786,Southern School of Beauty Inc,OK,40,74701-5008,33.991184,-96.377181,20,NA,2018
207847,Southeastern Oklahoma State University,OK,40,74701-3347,34.006808,-96.376864,2960,0.7539,2018
207856,Southwestern Christian University,OK,40,73008,35.513314,-97.63934,556,0.8014,2018
207865,Southwestern Oklahoma State University,OK,40,73096-3001,35.535281,-98.707768,4242,0.9186,2018
207935,Tulsa Community College,OK,40,74135-6198,36.106788,-95.90825,13903,NA,2018
207962,Tulsa Welding School-Tulsa,OK,40,74104,36.148202,-95.954378,753,NA,2018
207971,University of Tulsa,OK,40,74104-3189,36.152324,-95.945941,3246,0.4077,2018
208035,Western Oklahoma State College,OK,40,73521-1397,34.669018,-99.33699,991,NA,2018
208044,Formations Institute of Cosmetology & Barbering,OK,40,73801,36.43491,-99.386309,19,NA,2018
208053,High Plains Technology Center,OK,40,73801,36.40621,-99.427304,71,NA,2018
245953,Mid-America Christian University,OK,40,73170-9797,35.347785,-97.578297,1426,NA,2018
245962,Platt College,OK,40,74145,36.109468,-95.903824,268,NA,2018
245980,Ponca City Beauty College,OK,40,74601,36.73957,-97.06801,36,NA,2018
245999,Francis Tuttle Technology Center,OK,40,73142-2789,35.60052,-97.640672,708,NA,2018
246017,Central Technology Center,OK,40,74030,35.994261,-96.585322,371,NA,2018
248606,Moore Norman Technology Center,OK,40,73069-8399,35.274434,-97.457319,551,0.8352,2018
250993,Red River Technology Center,OK,40,73533,34.491393,-97.99029,512,NA,2018
363165,Metro Technology Centers,OK,40,73111-5240,35.512549,-97.478182,1225,NA,2018
364548,Great Plains Technology Center,OK,40,73505-8399,34.592907,-98.450321,172,NA,2018
364627,Pioneer Technology Center,OK,40,74601,36.72772,-97.093516,147,NA,2018
364946,Caddo Kiowa Technology Center,OK,40,73038-0190,35.108561,-98.443443,382,NA,2018
365198,Southern Oklahoma Technology Center,OK,40,73401,34.186239,-97.082971,145,NA,2018
365213,Autry Technology Center,OK,40,73703-2506,36.419122,-97.89719,380,0.9273,2018
365374,Canadian Valley Technology Center,OK,40,73036-9117,35.509208,-97.881967,333,NA,2018
365480,Meridian Technology Center,OK,40,74074-1899,36.106981,-97.108414,867,NA,2018
366623,Northwest Technology Center-Alva,OK,40,73717,36.786733,-98.675711,139,NA,2018
368364,Southwest Technology Center,OK,40,73521,34.668194,-99.341161,275,NA,2018
375656,Chisholm Trail Technology Center,OK,40,73764-6335,35.84221,-98.20184,34,NA,2018
375683,Gordon Cooper Technology Center,OK,40,74804,35.380321,-96.908013,738,NA,2018
375726,Kiamichi Technology Center-McAlester,OK,40,74501,34.924173,-95.745999,485,NA,2018
413820,Yukon Beauty College Inc,OK,40,73099,35.508293,-97.74668,18,NA,2018
414966,Phillips Theological Seminary,OK,40,74116-5612,36.167983,-95.868146,NA,NA,2018
418296,Indian Capital Technology Center-Muskogee,OK,40,74403-1889,35.774921,-95.311895,1237,NA,2018
418302,Western Technology Center,OK,40,73624-1469,35.352842,-99.180998,171,NA,2018
418320,Mid-America Technology Center,OK,40,73095-0210,34.912498,-97.364174,872,NA,2018
418339,Northeast Technology Center-Pryor,OK,40,74361,36.309116,-95.425056,179,NA,2018
418348,Eastern Oklahoma County Technology Center,OK,40,73020-9017,35.516891,-97.266991,87,NA,2018
418357,Wes Watkins Technology Center,OK,40,74883-6155,35.233305,-96.266262,48,NA,2018
420459,Northeast Technology Center-Afton,OK,40,74331,36.730369,-94.929123,200,NA,2018
428019,Green Country Technology Center,OK,40,74447-1217,35.63293,-95.9365,36,0.5354,2018
428143,Platt College-Lawton,OK,40,73501,34.605627,-98.389416,211,NA,2018
431017,Mid-Del Technology Center,OK,40,73110-4825,35.455237,-97.402578,89,NA,2018
432074,Northeast Technology Center-Kansas,OK,40,74347,36.209828,-94.778431,140,NA,2018
439570,Community Care College,OK,40,74145,36.101615,-95.905178,121,NA,2018
439932,Shawnee Beauty College,OK,40,74801,35.356032,-96.912574,29,NA,2018
443058,Family of Faith Christian University,OK,40,74802,35.462234,-96.901413,20,0.25,2018
445258,Platt College-OKC-Memorial,OK,40,73134,35.611128,-97.563751,314,NA,2018
447379,Platt College-Moore,OK,40,73160,35.339154,-97.478449,386,NA,2018
448424,Broken Arrow Beauty College,OK,40,74133,36.060431,-95.852816,54,NA,2018
449728,ATA College,OK,40,74146,36.098554,-95.856621,85,NA,2018
450401,Clary Sage College,OK,40,74145,36.117058,-95.903835,348,NA,2018
455929,Academy of Hair Design-Oklahoma City,OK,40,73134-8055,35.612955,-97.557189,38,NA,2018
456560,Northeast Technology Center-Claremore,OK,40,74017,36.326822,-95.634154,97,NA,2018
469629,Oklahoma Technical College,OK,40,74145-1122,36.098687,-95.905011,132,NA,2018
480967,College of the Muscogee Nation,OK,40,74447-0917,35.635288,-95.936439,205,NA,2018
483276,JB's Hair Design and Barber College,OK,40,73139,35.405519,-97.52838,46,NA,2018
483665,Paul Mitchell the School-Ardmore,OK,40,73401-3912,34.181867,-97.144647,27,NA,2018
483717,River Valley Cosmetology Institute,OK,40,74953-5260,35.044172,-94.634062,21,NA,2018
486567,Paul Mitchell the School-Tulsa,OK,40,74134-1410,36.132259,-95.82023,193,NA,2018
488828,Totally Cosmo School of Modern Cosmetology,OK,40,74728,34.027834,-94.738026,25,NA,2018
488934,Tulsa Technology Center,OK,40,74145,36.113428,-95.887481,1245,NA,2018
493691,Premier Academy of Cosmetology,OK,40,74501-4143,34.941596,-95.766472,NA,NA,2018
17706530,Columbia College - Fort Sill,OK,40,735039009,NA,NA,NA,NA,2018
20750001,University of Oklahoma - Douglass Learning Center,OK,40,735013025,NA,NA,NA,NA,2018
36662301,Northwest Technology Center-Fairview,OK,40,73737,NA,NA,NA,NA,2018
41829601,Indian Capital Technology Center-Sallisaw,OK,40,74955,NA,NA,NA,NA,2018
41829602,Indian Capital Technology Center-Stilwell,OK,40,74960,NA,NA,NA,NA,2018
41829603,Indian Capital Technology Center-Tahlequah,OK,40,74464,NA,NA,NA,NA,2018
206817,Bacone College,OK,40,74403-1597,35.777082,-95.334046,275,0.7201,2019
206835,Oklahoma Wesleyan University,OK,40,74006-6299,36.717453,-95.95671,864,0.5751,2019
206862,Southern Nazarene University,OK,40,73008,35.513295,-97.629504,1616,NA,2019
206905,Pontotoc Technology Center,OK,40,74820,34.7484,-96.683815,70,NA,2019
206914,Cameron University,OK,40,73505-6377,34.606487,-98.434163,3466,NA,2019
206923,Carl Albert State College,OK,40,74953-5208,35.039173,-94.633986,1475,NA,2019
206932,Central Oklahoma College,OK,40,73134,35.621488,-97.560235,304,NA,2019
206941,University of Central Oklahoma,OK,40,73034,35.6552,-97.471508,12619,0.841,2019
206996,Connors State College,OK,40,74469,35.492873,-95.319541,1804,NA,2019
207041,East Central University,OK,40,74820-6999,34.771934,-96.663849,2719,0.5934,2019
207050,Eastern Oklahoma State College,OK,40,74578-4999,34.914079,-95.328995,1095,NA,2019
207069,Redlands Community College,OK,40,73036-5304,35.518475,-97.974592,1057,NA,2019
207087,Enid Beauty College,OK,40,73703-4538,36.393267,-97.927122,33,NA,2019
207102,Eves College of Hairstyling,OK,40,73501,34.604991,-98.402794,100,NA,2019
207157,Randall University,OK,40,73160,35.300757,-97.491107,309,0.4396,2019
207209,Langston University,OK,40,73050,35.943982,-97.260317,2011,NA,2019
207236,Murray State College,OK,40,73460,34.222949,-96.677906,1481,NA,2019
207254,Spartan College of Aeronautics and Technology,OK,40,74115,36.176642,-95.878902,673,NA,2019
207263,Northeastern State University,OK,40,74464-2399,35.919939,-94.967229,5868,0.9961,2019
207272,Beauty Technical College Inc,OK,40,74465,35.915551,-94.962015,21,NA,2019
207281,Northern Oklahoma College,OK,40,74653,36.678649,-97.295887,2367,NA,2019
207290,Northeastern Oklahoma A&M College,OK,40,74354,36.877255,-94.867248,1581,NA,2019
207306,Northwestern Oklahoma State University,OK,40,73717-2799,36.796658,-98.667673,1578,0.6255,2019
207315,Oklahoma State University Center for Health Sciences,OK,40,74107-1898,36.137977,-96.005702,NA,NA,2019
207324,Oklahoma Christian University,OK,40,73013,35.611412,-97.469526,1710,0.6655,2019
207342,University of Oklahoma-Health Sciences Center,OK,40,73117-1221,35.47928,-97.496289,813,NA,2019
207351,Oklahoma Panhandle State University,OK,40,73939-0430,36.594518,-101.638488,1132,NA,2019
207388,Oklahoma State University-Main Campus,OK,40,74078-1015,36.123085,-97.069743,19777,0.6998,2019
207397,Oklahoma State University-Oklahoma City,OK,40,73107-6195,35.474969,-97.581959,4649,NA,2019
207403,Oklahoma Baptist University,OK,40,74804,35.360492,-96.932459,1693,0.5748,2019
207449,Oklahoma City Community College,OK,40,73159-9987,35.387699,-97.570109,10560,NA,2019
207458,Oklahoma City University,OK,40,73106-1402,35.495271,-97.541242,1583,0.7464,2019
207500,University of Oklahoma-Norman Campus,OK,40,73019-3072,35.209407,-97.444211,21329,0.8041,2019
207564,Oklahoma State University Institute of Technology,OK,40,74447-3901,35.626934,-95.940373,2067,NA,2019
207582,Oral Roberts University,OK,40,74171,36.049129,-95.952547,3098,0.6829,2019
207661,Rogers State University,OK,40,74017-3252,36.321437,-95.635718,3085,NA,2019
207670,Rose State College,OK,40,73110-2799,35.44372,-97.414113,5322,NA,2019
207704,Jenks Beauty College,OK,40,74037,36.023435,-95.975154,111,NA,2019
207722,University of Science and Arts of Oklahoma,OK,40,73018-5322,35.031392,-97.95641,781,0.6447,2019
207740,Seminole State College,OK,40,74868-1901,35.249515,-96.704908,1186,NA,2019
207786,Southern School of Beauty Inc,OK,40,74701-5008,33.991184,-96.377181,23,NA,2019
207847,Southeastern Oklahoma State University,OK,40,74701-3347,34.006808,-96.376864,2966,0.7372,2019
207856,Southwestern Christian University,OK,40,73008,35.513314,-97.63934,492,0.6206,2019
207865,Southwestern Oklahoma State University,OK,40,73096-3001,35.535281,-98.707768,3898,0.9107,2019
207935,Tulsa Community College,OK,40,74135-6198,36.106788,-95.90825,13752,NA,2019
207962,Tulsa Welding School-Tulsa,OK,40,74104,36.148202,-95.954378,742,NA,2019
207971,University of Tulsa,OK,40,74104-3189,36.152324,-95.945941,3232,0.3584,2019
208035,Western Oklahoma State College,OK,40,73521-1397,34.669018,-99.33699,951,NA,2019
208044,Formations Institute of Cosmetology & Barbering,OK,40,73801,36.43491,-99.386309,30,NA,2019
208053,High Plains Technology Center,OK,40,73801,36.40621,-99.427304,58,NA,2019
245953,Mid-America Christian University,OK,40,73170-9797,35.347785,-97.578297,1282,NA,2019
245962,Platt College,OK,40,74145,36.109468,-95.903824,235,NA,2019
