unitid,instnm,stabbr,st_fips,zip,latitude,longitude,ugds,adm_rate,year
245980,Ponca City Beauty College,OK,40,74601,36.73957,-97.06801,36,NA,2019
245999,Francis Tuttle Technology Center,OK,40,73142-2789,35.60052,-97.640672,743,NA,2019
246017,Central Technology Center,OK,40,74030,35.994261,-96.585322,1448,NA,2019
248606,Moore Norman Technology Center,OK,40,73069-8399,35.274434,-97.457319,1006,NA,2019
250993,Red River Technology Center,OK,40,73533,34.491393,-97.99029,521,NA,2019
363165,Metro Technology Centers,OK,40,73111-5240,35.512549,-97.478182,466,NA,2019
364548,Great Plains Technology Center,OK,40,73505-8399,34.592907,-98.450321,177,NA,2019
364627,Pioneer Technology Center,OK,40,74601,36.72772,-97.093516,126,NA,2019
364946,Caddo Kiowa Technology Center,OK,40,73038-0190,35.108561,-98.443443,123,NA,2019
365198,Southern Oklahoma Technology Center,OK,40,73401,34.186239,-97.082971,125,NA,2019
365213,Autry Technology Center,OK,40,73703-2506,36.419122,-97.89719,363,NA,2019
365374,Canadian Valley Technology Center,OK,40,73036-9117,35.509208,-97.881967,714,NA,2019
365480,Meridian Technology Center,OK,40,74074-1899,36.106981,-97.108414,267,NA,2019
366623,Northwest Technology Center-Alva,OK,40,73717,36.786733,-98.675711,19,NA,2019
368364,Southwest Technology Center,OK,40,73521,34.668194,-99.341161,307,NA,2019
375656,Chisholm Trail Technology Center,OK,40,73764-6335,35.84221,-98.20184,48,NA,2019
375683,Gordon Cooper Technology Center,OK,40,74804,35.380321,-96.908013,228,NA,2019
375726,Kiamichi Technology Center-McAlester,OK,40,74501,34.924173,-95.745999,439,NA,2019
413820,Yukon Beauty College Inc,OK,40,73099,35.508293,-97.74668,14,NA,2019
414966,Phillips Theological Seminary,OK,40,74116-5612,36.167983,-95.868146,NA,NA,2019
418296,Indian Capital Technology Center-Muskogee,OK,40,74403-1889,35.774921,-95.311895,1569,NA,2019
418302,Western Technology Center,OK,40,73624-1469,35.352842,-99.180998,145,NA,2019
418320,Mid-America Technology Center,OK,40,73095-0210,34.912498,-97.364174,998,NA,2019
418339,Northeast Technology Center-Pryor,OK,40,74361,36.309116,-95.425056,188,NA,2019
418348,Eastern Oklahoma County Technology Center,OK,40,73020-9017,35.516891,-97.266991,78,NA,2019
418357,Wes Watkins Technology Center,OK,40,74883-6155,35.233305,-96.266262,247,NA,2019
420459,Northeast Technology Center-Afton,OK,40,74331,36.730369,-94.929123,147,NA,2019
428019,Green Country Technology Center,OK,40,74447-1217,35.63293,-95.9365,52,0.8462,2019
428143,Platt College-Lawton,OK,40,73501,34.605627,-98.389416,161,NA,2019
431017,Mid-Del Technology Center,OK,40,73110-4825,35.455237,-97.402578,81,NA,2019
432074,Northeast Technology Center-Kansas,OK,40,74347,36.209828,-94.778431,163,NA,2019
439570,Community Care College,OK,40,74145,36.101615,-95.905178,99,NA,2019
439932,Shawnee Beauty College,OK,40,74801,35.356032,-96.912574,41,NA,2019
443058,Family of Faith Christian University,OK,40,74802,35.462234,-96.901413,25,1,2019
445258,Platt College-OKC-Memorial,OK,40,73134,35.611128,-97.563751,229,NA,2019
447379,Platt College-Moore,OK,40,73160,35.339154,-97.478449,273,NA,2019
448424,Broken Arrow Beauty College,OK,40,74133,36.060431,-95.852816,56,NA,2019
449728,ATA College,OK,40,74146,36.098554,-95.856621,84,NA,2019
450401,Clary Sage College,OK,40,74145,36.117058,-95.903835,329,NA,2019
455929,Academy of Hair Design-Oklahoma City,OK,40,73134-8055,35.612955,-97.557189,54,NA,2019
456560,Northeast Technology Center-Claremore,OK,40,74017,36.326822,-95.634154,125,NA,2019
469629,Oklahoma Technical College,OK,40,74145-1122,36.098687,-95.905011,129,NA,2019
480967,College of the Muscogee Nation,OK,40,74447-0917,35.635288,-95.936439,192,NA,2019
483276,JB's Hair Design and Barber College,OK,40,73139,35.405519,-97.52838,44,NA,2019
483665,Paul Mitchell the School-Ardmore,OK,40,73401-3912,34.181867,-97.144647,28,NA,2019
483717,River Valley Cosmetology Institute,OK,40,74953-5260,35.044172,-94.634062,11,NA,2019
486567,Paul Mitchell the School-Tulsa,OK,40,74134-1410,36.132259,-95.82023,171,NA,2019
488828,Totally Cosmo School of Modern Cosmetology,OK,40,74728,34.027834,-94.738026,25,NA,2019
488934,Tulsa Technology Center,OK,40,74145,36.113428,-95.887481,1262,NA,2019
493691,Premier Academy of Cosmetology,OK,40,74501-4143,34.941596,-95.766472,10,NA,2019
17706530,Columbia College - Fort Sill,OK,40,735039009,NA,NA,NA,NA,2019
20750001,University of Oklahoma - Douglass Learning Center,OK,40,735013025,NA,NA,NA,NA,2019
36662301,Northwest Technology Center-Fairview,OK,40,73737,NA,NA,NA,NA,2019
41829601,Indian Capital Technology Center-Sallisaw,OK,40,74955,NA,NA,NA,NA,2019
41829602,Indian Capital Technology Center-Stilwell,OK,40,74960,NA,NA,NA,NA,2019
41829603,Indian Capital Technology Center-Tahlequah,OK,40,74464,NA,NA,NA,NA,2019
206817,Bacone College,OK,40,74403-1597,35.777082,-95.334046,934,0.7285,2017
206835,Oklahoma Wesleyan University,OK,40,74006-6299,36.717453,-95.95671,1006,0.6231,2017
206862,Southern Nazarene University,OK,40,73008,35.513295,-97.629504,1520,NA,2017
206905,Pontotoc Technology Center,OK,40,74820,34.7484,-96.683815,93,NA,2017
206914,Cameron University,OK,40,73505-6377,34.606487,-98.434163,3793,NA,2017
206923,Carl Albert State College,OK,40,74953-5208,35.039173,-94.633986,1550,NA,2017
206932,Central Oklahoma College,OK,40,73134,35.621488,-97.560235,269,NA,2017
206941,University of Central Oklahoma,OK,40,73034,35.6552,-97.471508,14267,0.7552,2017
206996,Connors State College,OK,40,74469,35.492873,-95.319541,1993,NA,2017
207041,East Central University,OK,40,74820-6999,34.771934,-96.663849,2860,0.4802,2017
207050,Eastern Oklahoma State College,OK,40,74578-4999,34.914079,-95.328995,1049,NA,2017
207069,Redlands Community College,OK,40,73036-5304,35.518475,-97.974592,1085,NA,2017
207087,Enid Beauty College,OK,40,73703-4538,36.393267,-97.927122,37,NA,2017
207102,Eves College of Hairstyling,OK,40,73501,34.604991,-98.402794,103,NA,2017
207157,Randall University,OK,40,73160,35.300757,-97.491107,300,0.4057,2017
207209,Langston University,OK,40,73050,35.943982,-97.260317,2012,NA,2017
207236,Murray State College,OK,40,73460,34.222949,-96.677906,1797,NA,2017
207254,Spartan College of Aeronautics and Technology,OK,40,74115,36.176642,-95.878902,1127,NA,2017
207263,Northeastern State University,OK,40,74464-2399,35.919939,-94.967229,6401,0.9569,2017
207272,Beauty Technical College Inc,OK,40,74465,35.915551,-94.962015,30,NA,2017
207281,Northern Oklahoma College,OK,40,74653,36.678649,-97.295887,2752,NA,2017
207290,Northeastern Oklahoma A&M College,OK,40,74354,36.877255,-94.867248,1812,NA,2017
207306,Northwestern Oklahoma State University,OK,40,73717-2799,36.796658,-98.667673,1736,0.8304,2017
207315,Oklahoma State University Center for Health Sciences,OK,40,74107-1898,36.137977,-96.005702,NA,NA,2017
207324,Oklahoma Christian University,OK,40,73013,35.611412,-97.469526,1883,0.6281,2017
207342,University of Oklahoma-Health Sciences Center,OK,40,73117-1221,35.47928,-97.496289,786,NA,2017
207351,Oklahoma Panhandle State University,OK,40,73939-0430,36.594518,-101.638488,1020,NA,2017
207388,Oklahoma State University-Main Campus,OK,40,74078-1015,36.123085,-97.069743,20743,0.7428,2017
207397,Oklahoma State University-Oklahoma City,OK,40,73107-6195,35.474969,-97.581959,5334,NA,2017
207403,Oklahoma Baptist University,OK,40,74804,35.360492,-96.932459,1852,0.6472,2017
207449,Oklahoma City Community College,OK,40,73159-9987,35.387699,-97.570109,11203,NA,2017
207458,Oklahoma City University,OK,40,73106-1402,35.495271,-97.541242,1692,0.717,2017
207500,University of Oklahoma-Norman Campus,OK,40,73019-3072,35.209407,-97.444211,21536,0.74,2017
207564,Oklahoma State University Institute of Technology,OK,40,74447-3901,35.626934,-95.940373,2210,NA,2017
207582,Oral Roberts University,OK,40,74171,36.049129,-95.952547,3068,0.9334,2017
207661,Rogers State University,OK,40,74017-3252,36.321437,-95.635718,3216,NA,2017
207670,Rose State College,OK,40,73110-2799,35.44372,-97.414113,5982,NA,2017
207704,Jenks Beauty College,OK,40,74037,36.023435,-95.975154,28,NA,2017
207722,University of Science and Arts of Oklahoma,OK,40,73018-5322,35.031392,-97.95641,852,0.5214,2017
207740,Seminole State College,OK,40,74868-1901,35.249515,-96.704908,1307,NA,2017
207786,Southern School of Beauty Inc,OK,40,74701-5008,33.991184,-96.377181,24,NA,2017
207847,Southeastern Oklahoma State University,OK,40,74701-3347,34.006808,-96.376864,2937,0.724,2017
207856,Southwestern Christian University,OK,40,73008,35.513314,-97.63934,610,0.7704,2017
207865,Southwestern Oklahoma State University,OK,40,73096-3001,35.535281,-98.707768,4358,0.9197,2017
207935,Tulsa Community College,OK,40,74135-6198,36.106788,-95.90825,14413,NA,2017
207962,Tulsa Welding School-Tulsa,OK,40,74104,36.148202,-95.954378,926,NA,2017
207971,University of Tulsa,OK,40,74104-3189,36.152324,-95.945941,3316,0.3895,2017
208035,Western Oklahoma State College,OK,40,73521-1397,34.669018,-99.33699,1087,NA,2017
208044,Formations Institute of Cosmetology & Barbering,OK,40,73801,36.43491,-99.386309,34,NA,2017
208053,High Plains Technology Center,OK,40,73801,36.40621,-99.427304,79,NA,2017
245953,Mid-America Christian University,OK,40,73170-9797,35.347785,-97.578297,1561,NA,2017
245962,Platt College,OK,40,74145,36.109468,-95.903824,329,NA,2017
245980,Ponca City Beauty College,OK,40,74601,36.73957,-97.06801,35,NA,2017
245999,Francis Tuttle Technology Center,OK,40,73142-2789,35.60052,-97.640672,806,NA,2017
246017,Central Technology Center,OK,40,74030,35.994261,-96.585322,268,NA,2017
248606,Moore Norman Technology Center,OK,40,73069-8399,35.274434,-97.457319,384,0.6789,2017
250993,Red River Technology Center,OK,40,73533,34.491393,-97.99029,526,NA,2017
363165,Metro Technology Centers,OK,40,73111-5240,35.512549,-97.478182,1188,NA,2017
364548,Great Plains Technology Center,OK,40,73505-8399,34.592907,-98.450321,209,NA,2017
364627,Pioneer Technology Center,OK,40,74601,36.72772,-97.093516,126,NA,2017
364946,Caddo Kiowa Technology Center,OK,40,73038-0190,35.108561,-98.443443,416,NA,2017
365198,Southern Oklahoma Technology Center,OK,40,73401,34.186239,-97.082971,102,NA,2017
365213,Autry Technology Center,OK,40,73703-2506,36.419122,-97.89719,344,0.7411,2017
365374,Canadian Valley Technology Center,OK,40,73036-9117,35.509208,-97.881967,313,NA,2017
365480,Meridian Technology Center,OK,40,74074-1899,36.106981,-97.108414,137,NA,2017
366623,Northwest Technology Center-Alva,OK,40,73717,36.786733,-98.675711,124,NA,2017
368364,Southwest Technology Center,OK,40,73521,34.668194,-99.341161,206,NA,2017
375656,Chisholm Trail Technology Center,OK,40,73764-6335,35.84221,-98.20184,33,NA,2017
375683,Gordon Cooper Technology Center,OK,40,74804,35.380321,-96.908013,689,NA,2017
375726,Kiamichi Technology Center-McAlester,OK,40,74501,34.924173,-95.745999,523,NA,2017
413820,Yukon Beauty College Inc,OK,40,73099,35.508293,-97.74668,18,NA,2017
414966,Phillips Theological Seminary,OK,40,74116-5612,36.167983,-95.868146,NA,NA,2017
418296,Indian Capital Technology Center-Muskogee,OK,40,74403-1889,35.774921,-95.311895,732,NA,2017
418302,Western Technology Center,OK,40,73624-1469,35.352842,-99.180998,203,NA,2017
418320,Mid-America Technology Center,OK,40,73095-0210,34.912498,-97.364174,873,NA,2017
418339,Northeast Technology Center-Pryor,OK,40,74361,36.309116,-95.425056,173,NA,2017
418348,Eastern Oklahoma County Technology Center,OK,40,73020-9017,35.516891,-97.266991,114,NA,2017
418357,Wes Watkins Technology Center,OK,40,74883-6155,35.233305,-96.266262,47,NA,2017
420459,Northeast Technology Center-Afton,OK,40,74331,36.730369,-94.929123,157,NA,2017
428019,Green Country Technology Center,OK,40,74447-1217,35.63293,-95.9365,78,0.9672,2017
428143,Platt College-Lawton,OK,40,73501,34.605627,-98.389416,227,NA,2017
431017,Mid-Del Technology Center,OK,40,73110-4825,35.455237,-97.402578,109,NA,2017
432074,Northeast Technology Center-Kansas,OK,40,74347,36.209828,-94.778431,128,NA,2017
439570,Community Care College,OK,40,74145,36.101615,-95.905178,138,NA,2017
439932,Shawnee Beauty College,OK,40,74801,35.356032,-96.912574,20,NA,2017
443058,Family of Faith Christian University,OK,40,74802,35.462234,-96.901413,38,0.8,2017
445258,Platt College-OKC-Memorial,OK,40,73134,35.611128,-97.563751,234,NA,2017
447379,Platt College-Moore,OK,40,73160,35.339154,-97.478449,295,NA,2017
448424,Broken Arrow Beauty College,OK,40,74133,36.060431,-95.852816,48,NA,2017
449728,ATA College,OK,40,74146,36.098554,-95.856621,102,NA,2017
450401,Clary Sage College,OK,40,74145,36.117058,-95.903835,354,NA,2017
455929,Academy of Hair Design-Oklahoma City,OK,40,73134-8055,35.612955,-97.557189,46,NA,2017
456560,Northeast Technology Center-Claremore,OK,40,74017,36.326822,-95.634154,114,NA,2017
469629,Oklahoma Technical College,OK,40,74145-1122,36.098687,-95.905011,150,NA,2017
480967,College of the Muscogee Nation,OK,40,74447-0917,35.635288,-95.936439,194,NA,2017
483276,JB's Hair Design and Barber College,OK,40,73139,35.405519,-97.52838,60,NA,2017
483665,Paul Mitchell the School-Ardmore,OK,40,73401-3912,34.181867,-97.144647,36,NA,2017
483717,River Valley Cosmetology Institute,OK,40,74953-5260,35.044172,-94.634062,37,NA,2017
486567,Paul Mitchell the School-Tulsa,OK,40,74134-1410,36.132259,-95.82023,190,NA,2017
488828,Totally Cosmo School of Modern Cosmetology,OK,40,74728,34.027834,-94.738026,31,NA,2017
488934,Tulsa Technology Center,OK,40,74145,36.113428,-95.887481,1163,NA,2017
493691,Premier Academy of Cosmetology,OK,40,74501-4143,34.941596,-95.766472,NA,NA,2017
17706530,Columbia College - Fort Sill,OK,40,735039009,NA,NA,NA,NA,2017
20750001,University of Oklahoma - Douglass Learning Center,OK,40,735013025,NA,NA,NA,NA,2017
36662301,Northwest Technology Center-Fairview,OK,40,73737,NA,NA,NA,NA,2017
41829601,Indian Capital Technology Center-Sallisaw,OK,40,74955,NA,NA,NA,NA,2017
41829602,Indian Capital Technology Center-Stilwell,OK,40,74960,NA,NA,NA,NA,2017
41829603,Indian Capital Technology Center-Tahlequah,OK,40,74464,NA,NA,NA,NA,2017
